07-08-2025;Name;2025-01-01;2025-08-06;2025-08-05;2025-08-04;2025-07-31;2025-07-07;2025-05-07;2025-02-07;2024-08-07;2020-08-07
NVS;Novartis AG;97,31;113,50;117,73;117,83;113,74;122,12;111,70;106,26;111,16;82,91
GE;GE Aerospace;166,79;272,28;272,12;276,23;271,08;248,65;209,92;205,28;162,13;31,90
HBCYF;HSBC Holdings plc;9,47;12,05;12,26;12,10;12,55;11,66;11,30;10,48;7,96;4,28
MCD;McDonald's Corporation;289,89;307,66;298,77;304,23;300,07;293,53;318,13;294,30;269,37;204,60
ACN;Accenture plc;351,79;247,54;247,07;258,78;267,10;300,54;306,09;385,98;318,02;231,56
PEP;PepsiCo, Inc.;152,06;140,80;139,45;139,56;137,92;134,45;131,92;144,58;171,79;136,74
AXP;American Express Company;296,79;295,54;296,64;298,59;299,31;322,73;276,24;316,77;228,80;99,16
RYDAF;Shell plc;29,90;36,17;35,84;35,49;36,20;35,01;34,70;32,88;34,72;15,28
DIS;The Walt Disney Company;111,35;115,17;118,32;119,35;119,11;123,16;102,09;110,86;85,96;129,93
LRLCY;L'Oréal S.A.;70,41;87,30;86,60;87,80;88,53;87,31;85,04;70,25;84,33;65,55
T;AT&T Inc.;22,77;27,49;27,77;27,68;27,41;28,41;28,10;24,54;19,25;22,67
C;Citigroup Inc.;70,39;92,23;91,52;92,08;93,70;87,60;70,25;81,72;56,11;52,12
ADBE;Adobe Inc.;444,68;345,62;338,74;338,85;357,69;376,93;384,97;433,07;513,62;449,57
BX;Blackstone Inc.;172,42;169,35;167,68;170,50;172,96;152,99;136,14;170,27;127,59;52,52
PLTR;Palantir Technologies Inc.;75,63;179,54;173,27;160,66;158,35;139,12;110,48;110,85;26,32;0,00
NOW;ServiceNow, Inc.;1060,12;912,31;905,12;923,00;943,12;1035,01;983,29;1008,29;776,28;431,21
DTEGY;Deutsche Telekom AG;29,85;36,38;36,42;36,58;35,82;36,29;36,08;33,98;25,88;17,54
VZ;Verizon Communications Inc.;39,99;42,35;42,67;42,95;42,76;42,80;43,89;39,88;40,28;58,53
SIEGY;Siemens Aktiengesellschaft;96,68;127,95;127,00;125,75;127,85;127,61;118,82;106,63;83,87;68,52
TXN;Texas Instruments Incorporated;187,51;185,91;185,40;182,73;181,06;213,41;164,79;180,00;184,07;133,56
QCOM;QUALCOMM Incorporated;153,62;145,84;146,71;147,51;146,76;158,09;144,30;167,96;156,12;108,25
INTU;Intuit Inc.;628,50;779,47;769,27;784,87;785,13;783,61;641,14;578,85;609,45;309,43
MBFJF;Mitsubishi UFJ Financial Group, Inc.;10,65;14,67;14,67;13,75;14,00;13,51;12,10;12,60;9,42;3,88
SNEJF;Sony Group Corporation;21,50;25,30;25,37;25,33;24,31;26,69;25,30;23,59;17,10;16,02
SPGI;S&P Global Inc.;498,03;562,56;563,02;563,02;551,10;530,18;505,71;519,15;478,12;347,27
BKNG;Booking Holdings Inc.;4968,42;5536,31;5457,86;5476,09;5504,06;5815,92;5196,24;4887,47;3305,62;1754,48
CAT;Caterpillar Inc.;362,76;427,72;434,23;433,70;438,02;391,51;320,29;363,88;325,80;134,92
AMD;Advanced Micro Devices, Inc.;120,79;163,12;174,31;176,78;176,31;134,80;100,36;107,56;128,67;84,85
UBER;Uber Technologies, Inc.;60,32;89,22;89,39;88,43;87,75;96,68;83,65;74,60;65,54;32,90
XIACY;Xiaomi Corporation;21,86;33,84;34,39;34,76;33,68;36,60;32,09;27,33;0,00;0,00
BLK;BlackRock, Inc.;1025,11;1120,54;1109,64;1116,06;1106,01;1075,97;920,36;992,04;839,84;588,19
UNP;Union Pacific Corporation;228,04;225,46;222,97;222,06;221,97;235,35;213,85;242,08;236,84;182,93
PFE;Pfizer Inc.;26,53;23,93;24,75;23,53;23,29;25,24;22,79;25,74;28,85;36,48
EADSY;Airbus SE;39,84;51,62;50,72;49,79;50,24;51,71;43,57;42,82;36,49;20,33
UL;Unilever PLC;56,70;60,81;60,13;60,17;58,43;61,41;64,11;58,27;61,10;59,69
BYDDY;BYD Company Limited;67,97;14,09;14,13;14,53;14,65;15,38;16,38;14,09;53,77;20,00
HON;Honeywell International Inc.;225,89;219,23;221,06;220,79;222,35;239,35;214,61;205,52;197,92;155,11
SHOP;Shopify Inc.;106,33;154,90;127,00;125,21;122,21;116,66;94,50;117,41;63,89;105,31
ALIZF;Allianz SE;313,16;407,25;403,51;402,17;396,78;407,00;425,09;318,45;265,35;209,00
SBGSY;Schneider Electric S.E.;49,64;50,00;49,75;50,78;52,25;52,19;47,91;48,74;44,93;24,34
SBUX;Starbucks Corporation;91,25;88,99;90,20;89,78;89,16;93,64;82,71;112,20;75,29;75,79
BA;The Boeing Company;177,00;225,04;224,86;222,34;221,84;218,63;185,56;181,49;163,24;170,02
HTHIF;Hitachi, Ltd.;25,29;29,53;28,62;29,09;30,28;28,86;26,58;25,97;21,01;6,24
UNCFF;UniCredit S.p.A.;40,01;76,52;74,56;74,79;75,03;68,63;59,52;48,84;37,11;8,80
CHDRF;Christian Dior SE;614,00;502,87;502,87;502,87;529,59;528,76;504,29;676,49;614,91;397,00
SPOT;Spotify Technology S.A.;447,38;666,81;647,00;658,59;626,54;736,29;657,10;622,99;323,34;252,12
NKE;NIKE, Inc.;75,67;75,48;74,38;74,82;74,69;76,53;58,62;68,68;72,62;101,86
ETN;Eaton Corporation plc;331,87;358,16;356,45;384,76;384,72;358,49;302,20;313,05;277,68;97,76
LMT;Lockheed Martin Corporation;485,94;434,85;428,24;423,70;420,98;469,06;471,32;444,39;548,51;385,62
BCDRF;Banco Santander, S.A.;4,30;8,54;8,85;8,84;8,55;8,58;7,07;5,70;4,60;2,23
UPS;United Parcel Service, Inc.;126,10;86,25;86,78;85,02;86,16;100,85;93,96;113,11;123,32;156,90
